,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.33896,0.77961,1.85576,2.82217,1.55261,4.0338
TestRMSE,2.03413,0.55448,1.69046,2.3778,1.42754,3.31197
Step1,1.17848,0.569,0.82581,1.53115,0.67381,2.79024
Step2,0.98957,0.17521,0.88097,1.09816,0.74942,1.34966
Step3,1.2428,0.42198,0.98126,1.50435,0.75037,2.18524
