,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.6773,0.1005,0.8008,0.5818,0.1651,0.2496,0.3971,-0.1421
RNN-obs,0.5241,0.0145,0.5531,0.5157,0.5103,0.0277,0.5263,0.4551
GRU-obs,0.5095,0.0057,0.5159,0.5007,0.5376,0.0104,0.5535,0.5259
DNN-obs,0.5894,0.006,0.5975,0.5817,0.3811,0.0127,0.3974,0.3642
LSTM-obs,0.5416,0.0243,0.5684,0.5022,0.4766,0.0465,0.5509,0.4246
CNN-sg5,0.5891,0.0062,0.5969,0.5832,0.3819,0.013,0.3941,0.3654
RNN-sg5,0.494,0.0089,0.5062,0.4818,0.5652,0.0157,0.5866,0.5436
GRU-sg5,0.4875,0.0147,0.505,0.4668,0.5763,0.0255,0.6118,0.5458
DNN-sg5,0.5944,0.0058,0.6012,0.5837,0.3706,0.0123,0.3932,0.3563
LSTM-sg5,0.5151,0.0047,0.5213,0.5067,0.5273,0.0087,0.5427,0.5159
CNN-sg7,0.7425,0.1254,0.8479,0.5887,-0.01,0.3203,0.3827,-0.2807
RNN-sg7,0.4751,0.0071,0.4846,0.4635,0.5978,0.012,0.6173,0.5817
GRU-sg7,0.4571,0.0072,0.4673,0.4455,0.6277,0.0116,0.6465,0.6111
DNN-sg7,0.5972,0.0051,0.6023,0.5882,0.3647,0.0109,0.3838,0.3538
LSTM-sg7,0.482,0.0085,0.4966,0.4739,0.586,0.0147,0.6,0.5608
CNN-sg9,0.5936,0.0019,0.5971,0.5918,0.3723,0.0041,0.3762,0.3649
RNN-sg9,0.4914,0.0069,0.505,0.4867,0.5698,0.0121,0.5781,0.5458
GRU-sg9,0.4773,0.0129,0.502,0.4653,0.5939,0.0224,0.6144,0.5511
DNN-sg9,0.5969,0.0029,0.6014,0.5942,0.3652,0.0061,0.371,0.3559
LSTM-sg9,0.5078,0.0179,0.5361,0.4826,0.5401,0.0325,0.5852,0.488
CNN-ew2,0.7287,0.1116,0.8206,0.5836,0.032,0.2804,0.3933,-0.1996
RNN-ew2,0.4969,0.0056,0.5044,0.4879,0.5602,0.0099,0.576,0.5469
GRU-ew2,0.4777,0.0078,0.4888,0.4677,0.5934,0.0133,0.6104,0.5744
DNN-ew2,0.5895,0.0056,0.5991,0.5847,0.381,0.0118,0.391,0.3607
LSTM-ew2,0.5099,0.0209,0.5414,0.4833,0.536,0.0383,0.5839,0.4778
CNN-ew3,0.6383,0.1018,0.8419,0.5854,0.2558,0.2592,0.3897,-0.2626
RNN-ew3,0.4998,0.0048,0.5076,0.4934,0.555,0.0085,0.5664,0.541
GRU-ew3,0.479,0.0128,0.4959,0.4635,0.5911,0.0219,0.6174,0.562
DNN-ew3,0.5936,0.0059,0.6037,0.5876,0.3724,0.0126,0.385,0.3507
LSTM-ew3,0.5214,0.0133,0.5386,0.5051,0.5155,0.0247,0.5457,0.4832
CNN-ew4,0.7522,0.1331,0.8617,0.5887,-0.0395,0.3437,0.3827,-0.3226
RNN-ew4,0.4926,0.0064,0.5006,0.4812,0.5678,0.0112,0.5875,0.5537
GRU-ew4,0.4877,0.0245,0.5274,0.4576,0.5753,0.043,0.6271,0.5046
DNN-ew4,0.6512,0.108,0.8671,0.59,0.2239,0.2817,0.3801,-0.3393
LSTM-ew4,0.5116,0.0083,0.5265,0.5017,0.5336,0.0152,0.5518,0.5062
CNN-or,0.7137,0.0996,0.7967,0.5829,0.0752,0.2458,0.3948,-0.1306
RNN-or,0.4956,0.0048,0.5,0.4864,0.5625,0.0085,0.5786,0.5548
GRU-or,0.4848,0.0062,0.4948,0.4777,0.5813,0.0108,0.5936,0.5639
DNN-or,0.5891,0.007,0.5971,0.5806,0.3817,0.0147,0.3995,0.3649
LSTM-or,0.4871,0.0115,0.4958,0.4651,0.5771,0.0196,0.6146,0.5621
