,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.5201,0.2017,0.7674,0.3369,0.4454,0.403,0.7977,-0.0497,0.0805,0.0291,0.1162,0.0567,30.3544,19.4944,54.5229,14.234
RNN-obs,0.2542,0.0066,0.2673,0.2498,0.8847,0.0061,0.8888,0.8727,0.0443,0.0005,0.0452,0.0438,9.2188,0.1965,9.4606,9.0261
GRU-obs,0.2442,0.0028,0.2481,0.2413,0.8937,0.0025,0.8962,0.8903,0.0423,0.0003,0.0426,0.0419,8.6833,0.2158,8.8742,8.2872
DNN-obs,0.3442,0.0058,0.3516,0.3369,0.7887,0.0071,0.7977,0.7797,0.0563,0.0005,0.0569,0.0557,14.288,0.0813,14.3917,14.1958
LSTM-obs,0.2501,0.0073,0.2595,0.2385,0.8884,0.0065,0.8986,0.8799,0.0419,0.0007,0.0426,0.0406,7.9219,0.0822,8.023,7.7885
CNN-sg5,0.3471,0.007,0.3544,0.3354,0.7852,0.0086,0.7995,0.7761,0.0577,0.0012,0.0599,0.0568,13.0747,0.4976,14.0023,12.6613
RNN-sg5,0.2344,0.0039,0.2412,0.2303,0.902,0.0033,0.9055,0.8963,0.0426,0.0004,0.0432,0.0421,6.1696,0.0742,6.2499,6.0626
GRU-sg5,0.2287,0.0056,0.2382,0.2208,0.9067,0.0046,0.9131,0.8989,0.0402,0.0009,0.042,0.0394,4.9305,0.2779,5.3935,4.6502
DNN-sg5,0.3458,0.0055,0.3521,0.3358,0.7868,0.0068,0.799,0.779,0.0567,0.0004,0.0573,0.0561,12.8092,0.189,13.1226,12.5446
LSTM-sg5,0.2476,0.003,0.2527,0.2444,0.8907,0.0026,0.8935,0.8862,0.0391,0.0003,0.0396,0.0388,3.6994,0.1777,4.0182,3.5296
CNN-sg7,0.6191,0.2312,0.8107,0.3353,0.2216,0.4713,0.7996,-0.1715,0.097,0.0326,0.1242,0.057,38.0958,22.1448,56.4642,10.9507
RNN-sg7,0.2284,0.0046,0.2368,0.2232,0.907,0.0037,0.9112,0.9001,0.0438,0.0005,0.0447,0.0433,4.6845,0.2354,5.0,4.2714
GRU-sg7,0.2163,0.0047,0.2244,0.2104,0.9166,0.0036,0.9211,0.9103,0.0414,0.0009,0.0426,0.0402,3.845,0.2237,4.2635,3.6347
DNN-sg7,0.3454,0.005,0.3501,0.3369,0.7874,0.0062,0.7977,0.7815,0.0567,0.0002,0.0569,0.0564,10.8554,0.0172,10.8776,10.8328
LSTM-sg7,0.2177,0.002,0.2206,0.2148,0.9155,0.0016,0.9178,0.9132,0.0418,0.0011,0.0433,0.04,2.8435,0.1167,2.9557,2.6246
CNN-sg9,0.337,0.0033,0.3432,0.3346,0.7976,0.004,0.8005,0.79,0.0574,0.0001,0.0575,0.0572,9.5132,0.0351,9.5599,9.4557
RNN-sg9,0.2407,0.0016,0.2422,0.2377,0.8967,0.0014,0.8993,0.8954,0.0464,0.0004,0.047,0.0459,4.0148,0.1339,4.1698,3.825
GRU-sg9,0.2275,0.0069,0.2392,0.2204,0.9076,0.0056,0.9134,0.898,0.0436,0.0014,0.0457,0.0418,3.2651,0.2193,3.6568,3.0492
DNN-sg9,0.3393,0.0032,0.3448,0.3355,0.7948,0.0039,0.7993,0.7881,0.0578,0.0007,0.0591,0.0572,9.5941,0.1938,9.9279,9.4123
LSTM-sg9,0.2334,0.0062,0.242,0.2232,0.9028,0.0051,0.9112,0.8956,0.0451,0.0007,0.0461,0.0444,2.5829,0.1015,2.7004,2.4055
CNN-ew2,0.6091,0.215,0.7854,0.3348,0.2563,0.4329,0.8002,-0.0995,0.0943,0.0305,0.1193,0.0569,37.9114,21.1655,55.3902,11.9137
RNN-ew2,0.2393,0.0039,0.2437,0.2334,0.898,0.0033,0.9029,0.8942,0.0433,0.0004,0.0439,0.0427,6.6546,0.215,6.8816,6.2691
GRU-ew2,0.2257,0.0027,0.2285,0.2222,0.9092,0.0022,0.912,0.9069,0.0405,0.0004,0.0412,0.0399,5.7452,0.2598,6.2455,5.5336
DNN-ew2,0.3417,0.0073,0.3546,0.3358,0.7918,0.0089,0.799,0.7759,0.0565,0.0005,0.0572,0.0559,12.1119,0.1746,12.4181,11.9318
LSTM-ew2,0.2358,0.0058,0.2442,0.2281,0.9009,0.0049,0.9073,0.8938,0.0398,0.0004,0.0403,0.0392,4.9282,0.1948,5.2165,4.6239
CNN-ew3,0.4294,0.1878,0.8051,0.3337,0.6084,0.3819,0.8015,-0.1553,0.0703,0.0264,0.1231,0.057,19.9448,18.2881,56.5208,10.7349
RNN-ew3,0.2388,0.0019,0.2415,0.2359,0.8984,0.0016,0.9008,0.8961,0.0436,0.0002,0.0439,0.0433,5.5158,0.1017,5.6849,5.3828
GRU-ew3,0.2269,0.0043,0.2325,0.2215,0.9081,0.0035,0.9125,0.9036,0.0414,0.0005,0.0419,0.0405,4.8033,0.2239,5.2449,4.6228
DNN-ew3,0.3407,0.0064,0.3521,0.3345,0.7931,0.0078,0.8005,0.7791,0.057,0.0001,0.0571,0.0569,10.7452,0.0575,10.8114,10.6574
LSTM-ew3,0.2343,0.0062,0.2435,0.2269,0.9021,0.0052,0.9083,0.8943,0.0403,0.0005,0.0412,0.0398,4.0295,0.1941,4.3077,3.7764
CNN-ew4,0.6274,0.2394,0.8237,0.3342,0.1962,0.4937,0.8009,-0.2092,0.0989,0.0341,0.1269,0.0572,38.0792,23.2523,57.3344,9.5865
RNN-ew4,0.2388,0.0042,0.2461,0.2332,0.8983,0.0036,0.9031,0.892,0.0445,0.0005,0.0455,0.044,4.8424,0.0755,4.9267,4.7451
GRU-ew4,0.2284,0.0103,0.2446,0.2164,0.9068,0.0085,0.9165,0.8933,0.0414,0.0012,0.0428,0.0399,3.9324,0.1081,4.0687,3.7582
DNN-ew4,0.4106,0.1385,0.6875,0.3344,0.6653,0.2539,0.8007,0.1575,0.066,0.0174,0.1008,0.0569,15.0902,10.9326,36.955,9.5639
LSTM-ew4,0.2311,0.0031,0.2352,0.2259,0.9048,0.0025,0.9091,0.9014,0.0405,0.0007,0.0414,0.0394,3.5055,0.1914,3.6808,3.1468
CNN-or,0.5963,0.2033,0.7638,0.3349,0.2926,0.4018,0.8001,-0.0398,0.092,0.0287,0.1157,0.0568,38.6001,20.9482,55.8386,12.9297
RNN-or,0.2474,0.0044,0.2518,0.2395,0.8909,0.0039,0.8978,0.887,0.0442,0.0005,0.0447,0.0435,8.428,0.2666,8.7566,8.0655
GRU-or,0.2343,0.0045,0.2422,0.2294,0.9021,0.0038,0.9062,0.8954,0.0419,0.0009,0.0435,0.041,7.6747,0.2692,7.976,7.2228
DNN-or,0.3422,0.0073,0.3514,0.3339,0.7912,0.0089,0.8012,0.7799,0.0568,0.0002,0.057,0.0565,12.8717,0.0922,13.0293,12.7601
LSTM-or,0.227,0.0038,0.2309,0.22,0.9081,0.003,0.9137,0.9049,0.0403,0.0003,0.0407,0.0399,7.0626,0.0538,7.1222,6.9854
