,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7907,0.0338,0.8309,0.7462,-0.1154,0.0952,0.0084,-0.2293
RNN-obs,0.756,0.0248,0.8052,0.7384,-0.0189,0.0684,0.0291,-0.1544
GRU-obs,0.7391,0.0158,0.7533,0.7091,0.027,0.0411,0.1047,-0.0105
DNN-obs,0.7548,0.0069,0.7632,0.746,-0.0147,0.0185,0.009,-0.0373
LSTM-obs,0.8465,0.0533,0.9083,0.7641,-0.2811,0.1596,-0.0397,-0.4691
CNN-sg5,0.7601,0.0084,0.7705,0.7526,-0.0289,0.0229,-0.0085,-0.0571
RNN-sg5,0.7342,0.0205,0.7582,0.699,0.0394,0.0532,0.1301,-0.0236
GRU-sg5,0.7545,0.0245,0.7988,0.7262,-0.0148,0.0667,0.061,-0.1362
DNN-sg5,0.7651,0.0058,0.7708,0.7542,-0.0424,0.0157,-0.0128,-0.0579
LSTM-sg5,0.892,0.0238,0.9257,0.8554,-0.4178,0.0756,-0.303,-0.5259
CNN-sg7,0.8331,0.0553,0.8815,0.7647,-0.2413,0.1619,-0.0413,-0.3836
RNN-sg7,0.719,0.0124,0.7383,0.7002,0.0791,0.0319,0.127,0.0293
GRU-sg7,0.7088,0.0123,0.7252,0.6881,0.1052,0.0309,0.1569,0.0635
DNN-sg7,0.7744,0.0064,0.7798,0.7626,-0.0679,0.0177,-0.0355,-0.0828
LSTM-sg7,0.8477,0.0323,0.9112,0.8227,-0.2815,0.1,-0.2054,-0.4786
CNN-sg9,0.7776,0.0021,0.7815,0.7753,-0.0767,0.0059,-0.0704,-0.0874
RNN-sg9,0.752,0.0214,0.7936,0.7323,-0.0076,0.0582,0.0451,-0.1213
GRU-sg9,0.7456,0.0218,0.7805,0.7167,0.0093,0.0583,0.0855,-0.0848
DNN-sg9,0.7816,0.0032,0.7864,0.7782,-0.0879,0.009,-0.0784,-0.1013
LSTM-sg9,0.8829,0.0404,0.9296,0.8286,-0.391,0.1271,-0.2227,-0.5387
CNN-ew2,0.8173,0.0424,0.8524,0.7547,-0.1926,0.1218,-0.0142,-0.2938
RNN-ew2,0.7262,0.0092,0.74,0.713,0.0609,0.0238,0.0947,0.0249
GRU-ew2,0.7077,0.0217,0.7343,0.6836,0.1074,0.055,0.1679,0.04
DNN-ew2,0.7606,0.0053,0.7695,0.7555,-0.0302,0.0145,-0.0163,-0.0544
LSTM-ew2,0.8355,0.0607,0.9356,0.7557,-0.2497,0.1836,-0.0169,-0.5587
CNN-ew3,0.7857,0.0449,0.8751,0.7563,-0.1029,0.1308,-0.0186,-0.3637
RNN-ew3,0.7462,0.0146,0.7735,0.732,0.0082,0.0391,0.0458,-0.0653
GRU-ew3,0.7144,0.0227,0.7482,0.6879,0.0902,0.0581,0.1574,0.0032
DNN-ew3,0.7716,0.0076,0.7856,0.7649,-0.0604,0.0209,-0.042,-0.0989
LSTM-ew3,0.8707,0.0418,0.9292,0.8174,-0.3531,0.1299,-0.1899,-0.5376
CNN-ew4,0.8449,0.0615,0.896,0.7683,-0.2779,0.1823,-0.0511,-0.4295
RNN-ew4,0.726,0.0106,0.7359,0.7078,0.0612,0.0271,0.1078,0.0357
GRU-ew4,0.7462,0.0459,0.824,0.6871,0.0046,0.1238,0.1592,-0.2091
DNN-ew4,0.8082,0.0611,0.9302,0.7711,-0.1697,0.1857,-0.0588,-0.5407
LSTM-ew4,0.8421,0.0244,0.8722,0.8164,-0.264,0.0733,-0.187,-0.3548
CNN-or,0.8002,0.0305,0.8264,0.7528,-0.1419,0.0859,-0.0091,-0.2162
RNN-or,0.689,0.0066,0.6977,0.6787,0.1547,0.0163,0.1798,0.1331
GRU-or,0.6907,0.0108,0.7044,0.6753,0.1502,0.0267,0.188,0.1164
DNN-or,0.7593,0.0084,0.7697,0.749,-0.0268,0.0227,0.0011,-0.0551
LSTM-or,0.736,0.0219,0.7571,0.6955,0.0345,0.0566,0.1386,-0.0207
