,0,1,2,3,4
CNN-sg7,0.3812,0.3935,0.3719,-0.2644,-0.2778
RNN-sg7,0.618,0.6154,0.5989,0.6236,0.5981
GRU-sg7,0.6708,0.6514,0.647,0.6838,0.6601
DNN-sg7,0.3574,0.3509,0.3585,0.3693,0.3659
LSTM-sg7,0.598,0.5689,0.6265,0.5884,0.5652
