,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.25122,0.92414,0.34826,0.52883,0.67312
Exp2,0.25151,0.91968,0.34599,0.52453,0.67154
Exp3,0.24592,0.9275,0.35186,0.52963,0.67524
Exp4,0.25172,0.91964,0.34892,0.52519,0.66946
Exp5,0.25249,0.91565,0.34063,0.5205,0.67192
Exp6,0.25331,0.93132,0.35351,0.53122,0.67837
Exp7,0.24794,0.92875,0.3522,0.53261,0.67443
Exp8,0.25003,0.92264,0.35075,0.52701,0.67119
Exp9,0.24698,0.92446,0.34863,0.52813,0.67392
Exp10,0.2505,0.92649,0.35157,0.52893,0.67455
