,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.25016,0.00232,0.24872,0.2516,0.24592,0.25331
TestRMSE,0.92403,0.00452,0.92123,0.92683,0.91565,0.93132
Step1,0.34923,0.00357,0.34702,0.35145,0.34063,0.35351
Step2,0.52766,0.00334,0.52558,0.52973,0.5205,0.53261
Step3,0.67337,0.00239,0.6719,0.67485,0.66946,0.67837
