,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.02469,0.13204,0.13204,0.29777,0.48023
Exp2,0.02549,0.12868,0.12868,0.29507,0.48205
Exp3,0.02427,0.12796,0.12796,0.28748,0.47081
Exp4,0.02483,0.12584,0.12584,0.28954,0.47269
Exp5,0.02465,0.13322,0.13322,0.29414,0.47558
Exp6,0.02479,0.12774,0.12774,0.29489,0.48248
Exp7,0.0247,0.12638,0.12638,0.2934,0.47862
Exp8,0.02453,0.13174,0.13174,0.29341,0.4757
Exp9,0.02524,0.13204,0.13204,0.29331,0.47363
Exp10,0.02515,0.12843,0.12843,0.29186,0.47535
