,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.02483,0.00034,0.02462,0.02505,0.02427,0.02549
TestMSE,0.12941,0.00249,0.12786,0.13095,0.12584,0.13322
Step1,0.12941,0.00249,0.12786,0.13095,0.12584,0.13322
Step2,0.29309,0.00276,0.29138,0.2948,0.28748,0.29777
Step3,0.47671,0.00378,0.47437,0.47905,0.47081,0.48248
