,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.25448,76.57277,76.57277,88.72574,119.51495
Exp2,1.25743,76.90033,76.90033,90.02329,122.54074
Exp3,1.2598,75.79021,75.79021,88.05662,118.77159
Exp4,1.27488,77.81722,77.81722,89.82292,121.43432
Exp5,1.25644,78.09641,78.09641,89.7902,120.77014
Exp6,1.24485,78.38962,78.38962,90.98039,122.54397
Exp7,1.26878,78.10778,78.10778,91.0995,123.4426
Exp8,1.2538,76.28926,76.28926,89.90988,122.10478
Exp9,1.26059,74.76515,74.76515,88.59429,121.54359
Exp10,1.29675,76.79139,76.79139,90.3276,122.1751
