,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
GRU-sg7-3,0.2211,0.9128,0.038,1.8217,1.0348,1.0000000000000004e-08,0.004,0.2248,0.2156,0.0031,0.9171,0.9099,0.0009,0.0391,0.0368,0.2718,2.2043,1.599,0.0588,1.1172,0.9841
RNN-sg7-3,0.2353,0.9013,0.0413,2.6639,1.1938,1.0000000000000004e-08,0.0052,0.241,0.2285,0.0043,0.9069,0.8965,0.0005,0.042,0.0407,0.0446,2.7145,2.6061,0.034,1.241,1.1618
LSTM-or-3,0.2452,0.8929,0.0385,3.9801,0.9459,1.0000000000000002e-07,0.0029,0.2483,0.2414,0.0025,0.8962,0.8901,0.0002,0.0387,0.0382,0.1836,4.1748,3.7339,0.018,0.9601,0.9204
GRU-anchor,0.2121,0.9198,0.0375,1.9574,1.1883,1.0000000000000004e-08,0.004,0.2176,0.2084,0.003,0.9226,0.9156,0.0002,0.0378,0.0373,0.191,2.2265,1.8018,0.0128,1.203,1.1718
GRU-attn,0.2214,0.9126,0.0376,1.5552,1.0267,1.0000000000000004e-08,0.0045,0.2277,0.2173,0.0036,0.9158,0.9076,0.0007,0.0385,0.0369,0.1119,1.6757,1.4062,0.0204,1.0427,0.9978
RNN-attn,0.2212,0.9127,0.0388,2.0835,1.0967,1.0000000000000002e-07,0.0064,0.2297,0.2142,0.0051,0.9183,0.906,0.0017,0.0405,0.0365,0.2402,2.3255,1.756,0.0612,1.1546,1.0121
LSTM-attn,0.3546,0.7758,0.0536,7.1721,2.0648,1.0000000000000004e-08,0.0022,0.3568,0.3516,0.0028,0.7796,0.7731,0.0014,0.0551,0.0517,0.1366,7.3569,7.0309,0.1331,2.2522,1.9564
LSTM-anchor,0.2216,0.9125,0.0396,5.0316,1.2233,1.0000000000000004e-08,0.0038,0.2268,0.2178,0.003,0.9155,0.9083,0.0005,0.04,0.0388,0.2253,5.3028,4.7512,0.0298,1.2644,1.1944
RNN-anchor,0.2139,0.9184,0.0411,3.0996,1.5267,1.0000000000000004e-08,0.003,0.2173,0.21,0.0023,0.9214,0.9158,0.0009,0.042,0.04,0.3363,3.346,2.6241,0.0809,1.5988,1.4137
Transformer,0.6498,0.2472,0.0871,15.7646,4.198,1.0000000000000004e-08,0.0119,0.6658,0.6374,0.0276,0.2759,0.21,0.0026,0.0891,0.0834,0.4522,16.3026,15.1963,0.1129,4.3311,4.0551
