,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
GRU-sg7-3,0.7561,0.0037,0.761,0.7522,-0.0181,0.0099,-0.0076,-0.0313
RNN-sg7-3,0.7789,0.0083,0.7884,0.7682,-0.0804,0.0229,-0.051,-0.1069
LSTM-or-3,0.7923,0.0142,0.8109,0.7766,-0.1181,0.04,-0.074,-0.1709
GRU-anchor,0.7275,0.0221,0.7473,0.6967,0.0566,0.0566,0.1356,0.0056
GRU-attn,0.7613,0.0108,0.7754,0.7493,-0.0322,0.0293,0.0003,-0.0707
RNN-attn,0.7595,0.0286,0.7826,0.7193,-0.0287,0.0761,0.0786,-0.0905
LSTM-attn,0.7938,0.0081,0.8023,0.7828,-0.122,0.0229,-0.0912,-0.1462
LSTM-anchor,0.7581,0.0504,0.8174,0.6942,-0.0279,0.1355,0.1418,-0.1899
RNN-anchor,0.693,0.0034,0.6957,0.6882,0.1448,0.0085,0.1567,0.1382
Transformer,0.9225,0.013,0.9386,0.9068,-0.5157,0.0426,-0.4642,-0.5686
