,0,1,2,3,4,5,6,7,8,9
CNN-or,0.1269,0.0081,-0.4182,-0.0915,-0.0084,0.3069,0.7206,-0.0481,-0.0425,0.3034
RNN-or,0.0892,0.0704,0.5307,0.2415,0.3489,0.0518,0.2276,0.5433,0.4972,0.4944
GRU-or,0.1303,0.2379,0.1263,0.4124,0.3098,0.1263,0.2813,0.3047,0.3485,0.2075
DNN-or,-2.8005,0.2231,0.0745,-0.2025,0.2872,0.1696,0.2004,-0.5447,-0.0907,0.1663
LSTM-or,0.1797,0.283,0.3817,0.2462,0.357,0.3422,0.2729,0.3576,0.4108,0.4179
