,0,1,2,3,4,5,6,7,8,9
CNN-or,48.32289862851722,54.635532761353474,128.29069082359507,57.727520238958114,55.60368221015748,35.599389014819806,17.361354091779756,54.82815272211926,55.88221993749868,38.57838626747628
RNN-or,51.314774403312335,49.681939615769515,28.003149507981835,42.48269076919366,37.510137196565005,51.27340306174076,42.94918239936038,27.657528726694196,29.22264163021771,30.564447410929173
GRU-or,46.49826699879695,40.936853522005165,46.59589238617467,33.48591802351504,37.72708323658237,47.17541806274989,39.33715398271931,38.05102847254426,36.67320266915361,43.1941070980578
DNN-or,332.84121001679245,50.39633303200557,63.84301105905434,60.785670504834066,44.68247819939198,46.80016196651375,49.47061976051337,111.84815699375,81.34224963256742,48.08027730891509
LSTM-or,45.15577662814938,39.409032586853414,35.94950305108791,42.820474356642954,37.00088669208692,38.73154144118714,40.91592049718187,36.22141790729524,33.76442453257662,33.15027283597557
