,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-or,0.8386,0.0506,0.9735,0.7716,-0.2567,0.1587,-0.0601,-0.6875
RNN-or,0.7956,0.0294,0.8446,0.7608,-0.1287,0.0839,-0.0307,-0.2704
GRU-or,0.8173,0.0114,0.8371,0.7968,-0.1896,0.033,-0.1305,-0.2477
DNN-or,0.8314,0.1372,1.2357,0.7575,-0.2645,0.4904,-0.0217,-1.7189
LSTM-or,0.8106,0.0082,0.8256,0.7973,-0.1703,0.0237,-0.132,-0.2138
