,0,1,2,3,4,5,6,7,8,9
CNN-or,0.6999,0.746,0.892,0.7826,0.7522,0.6236,0.3959,0.7669,0.7648,0.6252
RNN-or,0.7149,0.7222,0.5132,0.6524,0.6044,0.7294,0.6583,0.5062,0.5311,0.5326
GRU-or,0.6985,0.6539,0.7002,0.5742,0.6223,0.7002,0.635,0.6246,0.6046,0.6668
DNN-or,1.4603,0.6602,0.7206,0.8214,0.6324,0.6826,0.6698,0.931,0.7823,0.6839
LSTM-or,0.6784,0.6343,0.589,0.6503,0.6007,0.6075,0.6387,0.6004,0.5749,0.5715
