,0,1,2,3,4,5,6,7,8,9
CNN-or,0.8253,0.7762,0.9778,0.8053,0.7838,0.7931,0.6351,0.8001,0.7983,0.7723
RNN-or,0.8054,0.7922,0.677,0.758,0.7192,0.796,0.7333,0.6635,0.6822,0.6688
GRU-or,0.7904,0.764,0.7825,0.7219,0.7469,0.7813,0.7595,0.7476,0.7442,0.7623
DNN-or,1.2331,0.7411,0.7413,0.8137,0.7436,0.7814,0.7553,0.6953,0.7361,0.7663
LSTM-or,0.767,0.7497,0.7242,0.7623,0.7251,0.735,0.7522,0.732,0.7179,0.7112
