,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.21325,0.00276,0.21154,0.21497,0.20879,0.21797
TestRMSE,1.01543,0.00467,1.01253,1.01832,1.00632,1.02544
Step1,0.36143,0.00239,0.35995,0.36291,0.35785,0.36644
Step2,0.57425,0.00279,0.57253,0.57598,0.56922,0.58065
Step3,0.75544,0.00349,0.75328,0.7576,0.74825,0.76164
