,0,1,2,3,4,5,6,7,8,9
CNN-sg5,55.13642250035114,54.792589800389244,36.851674606971,48.07636064195131,70.10228374365937,54.22842802206405,46.1903126362642,55.043559001755135,59.39781298222724,44.11411068137545
RNN-sg5,44.371560102251536,35.12171007790986,27.397731070446387,36.28359395196264,38.125541737511874,22.6144474525925,51.63540600823871,30.63300954075331,52.001957293695796,29.652004012977656
GRU-sg5,48.2832669300025,41.88414599011597,28.69283890646998,31.191674096745835,43.0195903998185,49.18448902634587,42.272628875018064,44.43781841034927,36.686640662407214,38.73836616547102
DNN-sg5,36.83383240127304,51.23775012461475,21.91745615277891,60.16101400142158,40.925134991267406,29.84580385448006,49.151533605048265,15.500162151439097,18.482991470655673,19.088010401078183
LSTM-sg5,42.441633826261025,42.89551421600351,38.36904131861586,40.11899455739585,38.73583078486344,38.66002212950141,44.35575223182169,36.07918075661839,38.476481264134044,43.302899410043
