,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.18047,0.00214,0.17914,0.18179,0.17645,0.18388
TestRMSE,0.99468,0.00309,0.99277,0.99659,0.98816,0.99829
Step1,0.38144,0.00276,0.37973,0.38315,0.37588,0.38525
Step2,0.56655,0.00175,0.56546,0.56763,0.56258,0.56855
Step3,0.72313,0.00156,0.72216,0.7241,0.72019,0.72575
