,0,1
MLP_1,36.042608939691505,49.603411084382785
MLP_7,71.44326761472637,72.9051503910026
LSTM_1,62.78511836402081,72.57849118641573
LSTM_7,59.68577816178819,57.21213032618739
Transformer,25.32062565402855,22.66722242405135
