,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,0.0114,0.11678,0.11678,0.25165,0.39851
Exp2,0.01174,0.11696,0.11696,0.25088,0.39706
Exp3,0.01156,0.12095,0.12095,0.25485,0.40153
Exp4,0.01202,0.11612,0.11612,0.2522,0.40228
Exp5,0.01172,0.12133,0.12133,0.25242,0.39846
Exp6,0.01167,0.11837,0.11837,0.25111,0.39468
Exp7,0.01156,0.12021,0.12021,0.2523,0.39792
Exp8,0.0119,0.121,0.121,0.25395,0.3982
Exp9,0.01173,0.11938,0.11938,0.25449,0.39932
Exp10,0.01243,0.12534,0.12534,0.25953,0.4059
