,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.24795,1.04115,0.36449,0.59116,0.77568
Exp2,0.24096,1.0442,0.36705,0.59203,0.77789
Exp3,0.24286,1.04222,0.36516,0.59106,0.77687
Exp4,0.24489,1.04674,0.36737,0.59432,0.77942
Exp5,0.24437,1.04067,0.36419,0.58863,0.77709
Exp6,0.24536,1.04423,0.3652,0.59211,0.77875
Exp7,0.23705,1.04375,0.36639,0.59216,0.7775
Exp8,0.24694,1.04452,0.36882,0.59369,0.77622
Exp9,0.24317,1.04348,0.36647,0.59242,0.7769
Exp10,0.24698,1.03786,0.36285,0.58764,0.7747
