,0,1,2
CNN-obs,0.365,0.3847,0.7664
RNN-obs,0.281,0.2849,0.2787
GRU-obs,0.2576,0.2572,0.2749
DNN-obs,0.3569,0.3533,0.3425
LSTM-obs,0.2427,0.2658,0.2545
