,0,1,2
CNN-obs,0.3504,0.347,-0.1389
RNN-obs,0.5074,0.4656,0.5027
GRU-obs,0.5236,0.5471,0.5006
DNN-obs,0.3648,0.3694,0.3911
LSTM-obs,0.5433,0.4762,0.4819
