,0,1,2
CNN-obs,0.6039,0.6055,0.7996
RNN-obs,0.5259,0.5478,0.5284
GRU-obs,0.5172,0.5042,0.5295
DNN-obs,0.5972,0.595,0.5847
LSTM-obs,0.5063,0.5423,0.5393
