,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7815,0.0346,0.8296,0.7497,-0.0898,0.0975,-0.0009,-0.2256
RNN-obs,0.7272,0.0223,0.7587,0.7091,0.0573,0.0585,0.1047,-0.0251
GRU-obs,0.7163,0.0198,0.7306,0.6883,0.0857,0.0501,0.1565,0.0495
DNN-obs,0.7565,0.0056,0.7621,0.7489,-0.0193,0.015,0.0012,-0.0343
LSTM-obs,0.7735,0.0244,0.8019,0.7424,-0.0666,0.067,0.0186,-0.1452
