,0,1,2
CNN-obs,0.7497,0.7653,0.8296
RNN-obs,0.7091,0.7587,0.7139
GRU-obs,0.7306,0.6883,0.73
DNN-obs,0.7621,0.7586,0.7489
LSTM-obs,0.7424,0.7763,0.8019
