,0,1,2
CNN-obs,0.7625,0.7363,-0.0469
RNN-obs,0.8592,0.8553,0.8616
GRU-obs,0.8817,0.8821,0.8653
DNN-obs,0.773,0.7775,0.791
LSTM-obs,0.895,0.8741,0.8845
