,0,1,2,3,4
CNN-sg9,-0.1399,-0.1487,-0.1401,-0.0591,-0.2013
RNN-sg9,-0.0599,0.1479,0.0182,-0.1233,0.2433
GRU-sg9,0.0032,-0.0913,0.0468,-0.002,-0.0937
DNN-sg9,0.0751,0.162,0.1611,-0.0275,0.077
LSTM-sg9,-0.042,0.0752,0.0609,0.0636,0.0498
