,0,1,2,3,4
CNN-sg9,0.7667,0.7508,0.7668,0.5825,0.6697
RNN-sg9,0.6303,0.5855,0.6804,0.6192,0.5202
GRU-sg9,0.6368,0.7067,0.6095,0.6301,0.692
DNN-sg9,0.5625,0.4691,0.45,0.5863,0.5187
LSTM-sg9,0.6733,0.5943,0.6022,0.6105,0.6037
