,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-sg9,0.8415,0.0161,0.8727,0.83,-0.2614,0.0489,-0.2267,-0.3563
RNN-sg9,0.7986,0.0368,0.8478,0.747,-0.138,0.1045,0.0063,-0.28
GRU-sg9,0.8137,0.0144,0.8349,0.7957,-0.1794,0.0419,-0.1274,-0.2413
DNN-sg9,0.8018,0.0169,0.82,0.7793,-0.1455,0.0482,-0.0814,-0.1975
LSTM-sg9,0.805,0.0085,0.8206,0.798,-0.1541,0.0246,-0.1341,-0.1992
