,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.8716,0.114,0.9856,0.7576,-0.376,0.3538,-0.0222,-0.7298
RNN-obs,0.9346,0.0664,1.001,0.8682,-0.5632,0.221,-0.3422,-0.7842
GRU-obs,0.8775,0.1085,0.986,0.769,-0.3922,0.339,-0.0532,-0.7312
DNN-obs,0.7748,0.0325,0.8073,0.7424,-0.0711,0.0896,0.0185,-0.1607
LSTM-obs,0.7365,0.0088,0.7453,0.7276,0.0341,0.0233,0.0574,0.0108
CNN-sg5,1.105,0.1496,1.2546,0.9554,-1.2142,0.5886,-0.6255,-1.8028
RNN-sg5,0.8839,0.082,0.9659,0.8019,-0.4032,0.2582,-0.145,-0.6613
GRU-sg5,0.8403,0.0168,0.8571,0.8235,-0.2579,0.0503,-0.2076,-0.3082
DNN-sg5,0.8316,0.0432,0.8748,0.7885,-0.2349,0.1277,-0.1072,-0.3626
LSTM-sg5,0.7716,0.0287,0.8002,0.7429,-0.0616,0.0788,0.0172,-0.1403
