,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.8563,0.105,0.9613,0.7513,-0.3256,0.3202,-0.0055,-0.6458
RNN-obs,0.9428,0.0809,1.0237,0.862,-0.5952,0.2716,-0.3236,-0.8668
GRU-obs,0.8682,0.1253,0.9935,0.743,-0.3706,0.3874,0.0168,-0.7581
DNN-obs,0.7654,0.0421,0.8076,0.7233,-0.0467,0.115,0.0683,-0.1617
LSTM-obs,0.7029,0.0112,0.7141,0.6917,0.1198,0.028,0.1478,0.0917
CNN-sg5,1.1141,0.1537,1.2678,0.9604,-1.253,0.61,-0.6429,-1.863
RNN-sg5,0.8512,0.0823,0.9336,0.7689,-0.3028,0.2498,-0.0531,-0.5526
GRU-sg5,0.8413,0.0159,0.8572,0.8254,-0.2612,0.0477,-0.2135,-0.3088
DNN-sg5,0.8346,0.0474,0.882,0.7873,-0.2448,0.1408,-0.1041,-0.3856
LSTM-sg5,0.7447,0.0266,0.7713,0.7181,0.0109,0.0706,0.0815,-0.0598
