,0,1,2
CNN-sg9,0.7993,0.7908,-0.2632
RNN-sg9,0.9083,0.9094,0.9053
GRU-sg9,0.919,0.9168,0.9141
DNN-sg9,0.7881,0.792,0.7975
LSTM-sg9,0.8857,0.8753,0.8639
