,0,1,2,3,4,5,6,7,8,9
CNN-sg9,0.9079,0.8903,0.902,0.9221,0.9316,0.9111,0.7736,0.9032,0.9183,0.9202
RNN-sg9,0.8627,0.8719,0.7585,0.805,0.8684,0.7973,0.8314,0.8398,0.8452,0.825
GRU-sg9,0.9586,0.9196,0.876,0.8649,0.8566,0.8861,0.8894,0.8882,0.9503,0.8791
DNN-sg9,0.8695,0.8066,0.7925,0.9479,0.8136,0.8857,0.8375,0.7683,0.7929,0.7554
LSTM-sg9,0.9101,0.8674,0.8842,0.8737,0.87,0.9168,0.8885,0.8732,0.9094,0.8953
