,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-sg9,0.8255,-0.2208,0.0641,0.9161,0.7781,0.1936,-0.0781,-0.4945
RNN-sg9,0.7398,0.0254,0.0091,0.7521,0.7306,0.024,0.0496,-0.0073
GRU-sg9,0.7664,-0.0465,0.0182,0.7805,0.7406,0.0493,0.0232,-0.0847
DNN-sg9,0.7841,-0.0949,0.0037,0.7889,0.78,0.0103,-0.0834,-0.1083
LSTM-sg9,0.9733,-0.6945,0.0647,1.0298,0.8827,0.2195,-0.3875,-0.8883
