,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-sg9,0.6907,0.1179,0.1345,0.8809,0.5937,0.3537,0.3722,-0.3823
RNN-sg9,0.4742,0.5995,0.0063,0.4823,0.4671,0.0106,0.6114,0.5857
GRU-sg9,0.4453,0.6468,0.0027,0.4483,0.4417,0.0043,0.6525,0.642
DNN-sg9,0.5992,0.3605,0.0029,0.6027,0.5955,0.0063,0.3684,0.3531
LSTM-sg9,0.5075,0.5407,0.0182,0.5285,0.4841,0.0328,0.5825,0.5025
