,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.86097,0.38467,1.62255,2.09939,1.23162,2.67717
TestRMSE,1.71306,0.26273,1.55022,1.8759,1.35653,2.21808
Step1,0.99488,0.26066,0.83332,1.15644,0.73344,1.47586
Step2,1.02993,0.18436,0.91566,1.14419,0.83281,1.45096
Step3,0.91009,0.15124,0.81635,1.00383,0.68926,1.15274
