,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.24985,0.00398,0.24738,0.25232,0.24144,0.25454
TestRMSE,0.91909,0.0101,0.91283,0.92536,0.89914,0.93239
Step1,0.34796,0.00646,0.34395,0.35196,0.33539,0.3545
Step2,0.52679,0.00652,0.52275,0.53083,0.51374,0.53457
Step3,0.66792,0.00676,0.66373,0.67211,0.65729,0.6769
