,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.01528,0.0004,0.01503,0.01552,0.01494,0.01619
TestMSE,0.14094,0.00163,0.13993,0.14195,0.13794,0.143
Step1,0.14094,0.00163,0.13993,0.14195,0.13794,0.143
Step2,0.28022,0.00322,0.27822,0.28221,0.27563,0.28673
Step3,0.41589,0.00395,0.41344,0.41834,0.40806,0.42174
