,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.28559,0.82472,1.25597,0.60332,0.61486
Exp2,1.65794,1.25822,1.28013,0.84197,1.65255
Exp3,1.34441,0.85732,1.11772,0.52396,0.93029
Exp4,1.14898,0.74848,0.49771,0.50079,1.24694
Exp5,2.65998,2.18031,3.39214,0.75209,2.39669
Exp6,3.02145,2.03638,0.60048,0.94149,4.56717
Exp7,1.52192,1.14295,1.9674,0.56746,0.89399
Exp8,2.24147,1.6271,1.18986,0.50052,3.19091
Exp9,4.93764,3.28723,6.91338,0.93694,2.01137
Exp10,1.53143,1.08166,0.54294,2.15292,0.54911
