,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,2.13508,1.10517,1.45009,2.82008,1.14898,4.93764
TestMSE,1.50444,0.75865,1.03422,1.97465,0.74848,3.28723
Step1,1.87577,1.8647,0.72002,3.03153,0.49771,6.91338
Step2,0.83215,0.47022,0.5407,1.12359,0.50052,2.15292
Step3,1.80539,1.21928,1.04967,2.56111,0.54911,4.56717
