,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.667,0.1063,0.7994,0.5792,0.1875,0.2607,0.4025,-0.1383
RNN-obs,0.5244,0.0124,0.544,0.5115,0.5098,0.0234,0.534,0.4729
GRU-obs,0.5016,0.008,0.5095,0.4868,0.5516,0.0141,0.5779,0.5376
DNN-obs,0.5924,0.0037,0.5951,0.5852,0.375,0.0078,0.39,0.3692
LSTM-obs,0.5447,0.0275,0.5812,0.5042,0.4701,0.0531,0.5472,0.3984
CNN-sg5,0.6814,0.1095,0.8172,0.5839,0.1516,0.2743,0.3927,-0.1895
RNN-sg5,0.4825,0.0056,0.491,0.4772,0.5853,0.0097,0.5945,0.5705
GRU-sg5,0.4772,0.0097,0.4945,0.4665,0.5941,0.0166,0.6123,0.5644
DNN-sg5,0.5954,0.0048,0.6001,0.587,0.3686,0.0101,0.3863,0.3586
LSTM-sg5,0.5263,0.0241,0.5525,0.4812,0.5056,0.0442,0.5876,0.4563
CNN-sg7,0.6912,0.1254,0.847,0.5835,0.1209,0.3202,0.3935,-0.2778
RNN-sg7,0.4674,0.0062,0.475,0.4597,0.6108,0.0104,0.6236,0.5981
GRU-sg7,0.4351,0.0087,0.4452,0.4213,0.6626,0.0134,0.6838,0.647
DNN-sg7,0.5992,0.0031,0.6037,0.595,0.3604,0.0065,0.3693,0.3509
LSTM-sg7,0.4799,0.0131,0.4941,0.4579,0.5894,0.0222,0.6265,0.5652
CNN-sg9,0.7112,0.1407,0.8873,0.5941,0.0637,0.371,0.3713,-0.4025
RNN-sg9,0.4814,0.004,0.4858,0.476,0.5873,0.0069,0.5964,0.5797
GRU-sg9,0.4496,0.0076,0.4577,0.4355,0.6398,0.0121,0.6622,0.6268
DNN-sg9,0.6015,0.0034,0.6051,0.5951,0.3555,0.0073,0.3693,0.3478
LSTM-sg9,0.4691,0.0222,0.5028,0.4394,0.6071,0.0374,0.6561,0.5497
CNN-ew2,0.6353,0.0896,0.8141,0.5847,0.2669,0.2241,0.3911,-0.1805
RNN-ew2,0.5026,0.0118,0.5242,0.4893,0.5499,0.0214,0.5735,0.5105
GRU-ew2,0.4793,0.0186,0.516,0.4669,0.5902,0.0325,0.6117,0.5258
DNN-ew2,0.5929,0.0031,0.596,0.5878,0.3739,0.0065,0.3845,0.3674
LSTM-ew2,0.5218,0.011,0.541,0.5092,0.5148,0.0206,0.5381,0.4787
CNN-ew3,0.6864,0.1221,0.8424,0.5862,0.1343,0.3094,0.3879,-0.2639
RNN-ew3,0.5036,0.0203,0.5432,0.4888,0.5476,0.0374,0.5744,0.4744
GRU-ew3,0.4801,0.0157,0.5046,0.4552,0.589,0.0268,0.6309,0.5465
DNN-ew3,0.5947,0.0038,0.6009,0.5893,0.3701,0.0081,0.3815,0.3568
LSTM-ew3,0.5299,0.0201,0.5615,0.5036,0.4992,0.0381,0.5483,0.4384
CNN-ew4,0.6993,0.1333,0.8644,0.5868,0.0973,0.345,0.3867,-0.3308
RNN-ew4,0.5072,0.0095,0.5233,0.497,0.5417,0.0173,0.56,0.5123
GRU-ew4,0.4794,0.0091,0.4956,0.4697,0.5904,0.0157,0.607,0.5625
DNN-ew4,0.5969,0.0061,0.6035,0.587,0.3652,0.013,0.3863,0.3514
LSTM-ew4,0.512,0.0075,0.5211,0.4984,0.533,0.0136,0.5576,0.5164
CNN-or,0.6284,0.0817,0.7912,0.578,0.2847,0.2004,0.405,-0.1151
RNN-or,0.486,0.0034,0.4904,0.4815,0.5792,0.0059,0.5871,0.5716
GRU-or,0.4743,0.0076,0.482,0.4607,0.5992,0.0127,0.622,0.5862
DNN-or,0.584,0.0044,0.5912,0.5789,0.3926,0.0091,0.4032,0.3774
LSTM-or,0.4871,0.0106,0.5007,0.4719,0.5773,0.0183,0.6034,0.5534
