,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.5074,0.2097,0.7662,0.3356,0.4628,0.4112,0.7993,-0.0464,0.0804,0.0288,0.1161,0.0569,30.5828,19.6268,54.7958,14.4256
RNN-obs,0.2507,0.0042,0.2567,0.2441,0.888,0.0038,0.8938,0.8825,0.044,0.0002,0.0442,0.0437,9.1419,0.1819,9.3439,8.8573
GRU-obs,0.2392,0.0028,0.242,0.2339,0.898,0.0024,0.9025,0.8956,0.0409,0.0002,0.0412,0.0406,8.0643,0.0526,8.1164,7.981
DNN-obs,0.3491,0.0062,0.3563,0.3383,0.7827,0.0076,0.796,0.7737,0.0561,0.0007,0.0569,0.0553,14.3358,0.2329,14.7187,14.0299
LSTM-obs,0.2499,0.0096,0.2661,0.2374,0.8885,0.0087,0.8996,0.8738,0.0407,0.0009,0.0424,0.0395,7.4117,0.1408,7.6424,7.2795
CNN-sg5,0.5209,0.2122,0.7823,0.335,0.4362,0.4264,0.8,-0.0907,0.0815,0.0301,0.1187,0.0568,29.7771,20.8096,55.4006,12.7646
RNN-sg5,0.2254,0.0023,0.2296,0.2228,0.9094,0.0019,0.9115,0.906,0.0418,0.0003,0.0422,0.0416,5.902,0.2552,6.1958,5.4383
GRU-sg5,0.2337,0.0076,0.2456,0.2238,0.9025,0.0064,0.9107,0.8925,0.0385,0.0003,0.0389,0.0381,3.9307,0.0453,4.0017,3.8642
DNN-sg5,0.347,0.0058,0.3537,0.3367,0.7854,0.0072,0.798,0.7771,0.0567,0.0004,0.057,0.056,12.7412,0.0775,12.8795,12.6617
LSTM-sg5,0.2673,0.0115,0.2805,0.2463,0.8725,0.0107,0.8919,0.8598,0.0402,0.001,0.0415,0.0386,3.0532,0.1012,3.2023,2.8917
CNN-sg7,0.5246,0.2312,0.8098,0.333,0.4143,0.4713,0.8023,-0.1689,0.0838,0.0325,0.124,0.0571,29.2168,22.2994,56.5989,10.9845
RNN-sg7,0.2203,0.0021,0.2229,0.2174,0.9135,0.0016,0.9157,0.9114,0.0427,0.0003,0.0432,0.0423,4.3446,0.1124,4.4734,4.1514
GRU-sg7,0.2044,0.0037,0.2078,0.1995,0.9255,0.0027,0.9291,0.9231,0.0385,0.0005,0.0395,0.038,3.0635,0.0823,3.2045,2.9605
DNN-sg7,0.3463,0.0021,0.3497,0.344,0.7863,0.0026,0.7891,0.782,0.0567,0.0003,0.057,0.056,10.9212,0.0388,10.9744,10.8588
LSTM-sg7,0.2489,0.0117,0.267,0.2366,0.8893,0.0104,0.9002,0.873,0.0391,0.0006,0.0395,0.038,2.193,0.0483,2.2417,2.1052
CNN-sg9,0.542,0.2469,0.848,0.3378,0.3679,0.5214,0.7967,-0.2815,0.087,0.0363,0.1323,0.0572,29.1463,24.0073,58.7141,9.4945
RNN-sg9,0.2302,0.0021,0.2326,0.2277,0.9056,0.0017,0.9076,0.9036,0.0449,0.0003,0.0454,0.0445,3.768,0.1018,3.8765,3.6085
GRU-sg9,0.2129,0.0026,0.2162,0.209,0.9192,0.002,0.9221,0.9167,0.041,0.0009,0.0421,0.0399,2.7429,0.249,2.9914,2.392
DNN-sg9,0.344,0.0025,0.3468,0.3395,0.7891,0.003,0.7946,0.7857,0.0573,0.0002,0.0578,0.0572,9.5741,0.071,9.6771,9.4647
LSTM-sg9,0.2215,0.0098,0.2364,0.209,0.9124,0.0078,0.9222,0.9004,0.0424,0.0009,0.0437,0.0412,1.9001,0.1202,2.0447,1.7369
CNN-ew2,0.4295,0.1751,0.7794,0.3352,0.6165,0.3498,0.7998,-0.0828,0.0692,0.0245,0.1182,0.0569,20.9539,17.4953,55.9439,12.0602
RNN-ew2,0.2375,0.0047,0.2457,0.2309,0.8994,0.004,0.905,0.8924,0.0428,0.0004,0.0433,0.0421,6.392,0.0592,6.4605,6.3242
GRU-ew2,0.2265,0.0055,0.2362,0.2204,0.9085,0.0044,0.9134,0.9006,0.0388,0.0005,0.0395,0.0382,5.1035,0.1086,5.3128,5.0184
DNN-ew2,0.3438,0.0038,0.3491,0.3383,0.7893,0.0047,0.7961,0.7828,0.0565,0.0004,0.0569,0.0559,12.0112,0.076,12.1077,11.911
LSTM-ew2,0.2457,0.0011,0.2469,0.2439,0.8924,0.0009,0.894,0.8913,0.0388,0.0002,0.039,0.0384,4.5808,0.106,4.7469,4.489
CNN-ew3,0.5202,0.228,0.8055,0.3338,0.4251,0.4607,0.8014,-0.1564,0.0831,0.0318,0.1231,0.0571,29.3281,22.5944,57.1176,10.7979
RNN-ew3,0.2365,0.008,0.2511,0.2296,0.9002,0.0069,0.9061,0.8876,0.0428,0.0006,0.0437,0.0422,5.3683,0.1271,5.5535,5.1997
GRU-ew3,0.2274,0.0069,0.2388,0.2186,0.9078,0.0057,0.9149,0.8984,0.0396,0.0004,0.0403,0.0393,4.1297,0.1482,4.3745,3.9471
DNN-ew3,0.3423,0.0044,0.3499,0.337,0.7911,0.0054,0.7975,0.7818,0.0569,0.0001,0.057,0.0568,10.64,0.0631,10.7202,10.5309
LSTM-ew3,0.252,0.0065,0.2599,0.2437,0.8868,0.0058,0.8942,0.8797,0.0391,0.0006,0.0402,0.0384,3.4356,0.0828,3.5295,3.2928
CNN-ew4,0.5324,0.2385,0.8261,0.3327,0.3935,0.4939,0.8028,-0.2165,0.0852,0.0342,0.1274,0.0571,28.8574,23.4429,57.8195,9.6664
RNN-ew4,0.2389,0.004,0.245,0.2332,0.8983,0.0034,0.903,0.8931,0.0439,0.0004,0.0444,0.0432,4.6615,0.0874,4.7968,4.5303
GRU-ew4,0.2229,0.0021,0.227,0.2213,0.9114,0.0017,0.9127,0.9082,0.0402,0.0004,0.0408,0.0395,3.5867,0.1418,3.8485,3.4354
DNN-ew4,0.342,0.0056,0.3472,0.3341,0.7915,0.0068,0.8011,0.7851,0.057,0.0002,0.0572,0.0567,9.6407,0.03,9.6727,9.5937
LSTM-ew4,0.2402,0.0038,0.2456,0.2352,0.8972,0.0033,0.9014,0.8925,0.0393,0.0006,0.04,0.0382,2.9814,0.1477,3.1679,2.7917
CNN-or,0.4262,0.1666,0.759,0.3323,0.6268,0.3269,0.8032,-0.0267,0.0686,0.0232,0.115,0.0569,21.6196,17.4987,56.6167,12.7396
