,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
RNN-ews,0.8414,0.0367,0.8835,0.7838,-0.263,0.1092,-0.0939,-0.3899
DNN-sg7,0.8145,0.1026,1.0138,0.7297,-0.2002,0.3221,0.0517,-0.8301
RNN-attn-ew2,0.8648,0.0976,1.0508,0.7708,-0.3488,0.3205,-0.058,-0.966
