,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
RNN-ews,0.775,0.0297,0.8131,0.7344,-0.0714,0.0818,0.0394,-0.1777
DNN-sg7,0.7742,0.0886,0.9439,0.7058,-0.0816,0.2614,0.1126,-0.5869
RNN-attn-ew2,0.7468,0.0837,0.9062,0.6631,-0.0059,0.2371,0.2168,-0.4627
