,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-ew2,0.5986,0.3615,0.0105,0.6062,0.5838,0.0222,0.3929,0.3454
RNN-ew2,0.5113,0.5343,0.005,0.5178,0.5056,0.0091,0.5446,0.5225
GRU-ew2,0.4948,0.5636,0.0114,0.5109,0.4865,0.0202,0.5784,0.5351
DNN-ew2,0.5983,0.3623,0.005,0.6052,0.5938,0.0106,0.372,0.3475
LSTM-ew2,0.5119,0.5324,0.0207,0.5352,0.4849,0.0376,0.5811,0.4897
