,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-ew2,0.7743,-0.0678,0.0145,0.7849,0.7537,0.0398,-0.0115,-0.0969
RNN-ew2,0.7692,-0.054,0.016,0.7883,0.7491,0.0438,0.0007,-0.1065
GRU-ew2,0.7681,-0.0513,0.0217,0.7987,0.7521,0.0599,-0.0073,-0.136
DNN-ew2,0.7703,-0.0566,0.004,0.7757,0.7662,0.011,-0.0454,-0.0715
LSTM-ew2,0.8705,-0.3581,0.0702,0.9516,0.7804,0.216,-0.0845,-0.6126
