,0,1,2
CNN-ew2,0.7849,0.7842,0.7537
RNN-ew2,0.7883,0.7491,0.7702
GRU-ew2,0.7534,0.7521,0.7987
DNN-ew2,0.7689,0.7662,0.7757
LSTM-ew2,0.7804,0.8794,0.9516
