,0,1,2
CNN-ew2,0.3454,0.3462,0.3929
RNN-ew2,0.5225,0.5446,0.5358
GRU-ew2,0.5784,0.5774,0.5351
DNN-ew2,0.3675,0.372,0.3475
LSTM-ew2,0.5811,0.5264,0.4897
