,0,1,2,3,4,5,6,7,8,9
CNN-ew2,52.789968244167895,61.587340070574115,55.97498011464607,63.66133597149738,55.93489523740713,64.87892278443418,56.27730639597764,41.99500892050846,32.88040815272867,46.320743699289416
RNN-ew2,19.48869587305138,31.27078658532389,35.833680187070165,29.853834734909658,21.241017356182816,28.20661919040249,23.648400111114874,28.672342223001134,24.261158307628623,33.599230637264
GRU-ew2,44.54432304070888,41.681268217749434,46.87022026028013,54.246382726031975,43.5120933155145,39.12056291410516,39.06092418946826,41.07615164882727,35.24486685230906,27.1243810399143
DNN-ew2,16.42420939983555,30.149085311491877,21.110076984108144,79.18622827128478,38.359549432688446,27.395457836447946,58.075748322975194,30.36721360713172,13.977923230608171,52.128585589544464
LSTM-ew2,35.83535268149678,45.87114225218057,45.04724502773701,34.04733730309735,45.48027260704397,39.64697829876047,36.5461807114993,35.23034372157252,32.34246010010157,39.79318710662146
