,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-sg7,39.856,0.0,39.856,39.856,-3.8655,0.0,-3.8655,-3.8655,0.8525,0.0,0.8525,0.8525,504.526,0.0,504.526,504.526
RNN-sg7,16.5611,0.0,16.5611,16.5611,0.1599,0.0,0.1599,0.1599,0.1203,0.0,0.1203,0.1203,65.0519,0.0,65.0519,65.0519
GRU-sg7,26.6963,0.0,26.6963,26.6963,-1.183,0.0,-1.183,-1.183,0.3968,0.0,0.3968,0.3968,225.0839,0.0,225.0839,225.0839
DNN-sg7,28.1064,0.0,28.1064,28.1064,-1.4196,0.0,-1.4196,-1.4196,0.4306,0.0,0.4306,0.4306,245.7095,0.0,245.7095,245.7095
LSTM-sg7,29.6337,0.0,29.6337,29.6337,-1.6898,0.0,-1.6898,-1.6898,0.4896,0.0,0.4896,0.4896,287.1792,0.0,287.1792,287.1792
