,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.73788,0.2104,1.60747,1.86829,1.32473,2.0748
TestRMSE,1.6845,0.18049,1.57263,1.79637,1.46092,2.06247
Step1,0.91463,0.16708,0.81108,1.01819,0.66607,1.12467
Step2,1.00766,0.12628,0.92939,1.08593,0.8038,1.22302
Step3,0.97214,0.17106,0.86611,1.07816,0.82006,1.43333
