,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-2.92978,-3.44444,-1.38996,-2.05622,0.00173
Exp2,-4.17495,-4.65875,-2.2183,-1.52141,-0.91905
Exp3,-4.33751,-4.7982,-1.67716,-1.70127,-1.41977
Exp4,-1.31677,-1.79222,-0.94954,-0.21259,-0.63008
Exp5,1.24301,1.19885,1.36804,-0.99386,0.82467
Exp6,-3.76497,-4.23412,-1.85041,-0.52903,-1.85468
Exp7,-2.15168,-2.59766,-0.10534,-1.84157,-0.65075
Exp8,-1.29648,-1.60642,-1.12239,-1.63229,1.14826
Exp9,-1.73941,-2.20922,-1.18475,-1.265,0.24053
Exp10,-3.86625,-4.33992,-2.25693,-1.32802,-0.75496
