,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.24753,0.00408,0.245,0.25005,0.24174,0.25378
TestRMSE,0.91598,0.00938,0.91017,0.92179,0.89938,0.92955
Step1,0.34563,0.00768,0.34087,0.35039,0.33025,0.36214
Step2,0.52539,0.00676,0.5212,0.52958,0.51444,0.53573
Step3,0.66594,0.0053,0.66266,0.66922,0.65701,0.67454
