,E_Coli,TRC,DO,TSS*,Colour,Turbidity,pH,TON,BOD5,NH3_N
89,13,0.05,6.02,2.8,99,0.14,7.06,3,0.91,3.01
90,21,0.01,5.84,2.9,104,0.15,7.09,2,1.18,3.01
91,30,0.03,5.95,2.8,103,0.16,7.12,4,0.91,2.69
92,12,0.02,6.09,2.8,72,0.18,7.02,,0.97,1.74
93,12,0.03,6.06,2.8,74,0.19,7.09,,0.98,3.18
94,18,0,5.86,2.8,80,0.18,7.05,,0.97,3.56
95,23,0.03,6.1,2.8,86,0.19,7.11,,1.04,3.28
96,22,0,6.08,2.8,90,0.14,7.09,,0.98,2.6
97,25,0.05,6,2.8,100,0.17,7.16,,1.02,1.84
98,35,0.03,5.95,2.8,108,0.15,7.19,,1.1,1.09
99,19,0.07,6.25,2.9,99,0.14,7.17,6,0.79,1.36
100,20,0.05,6.14,2.9,102,0.17,7.2,3,0.81,1.91
101,22,0.07,6.12,2.9,104,0.17,7.18,2,0.47,1.79
102,26,0.06,5.95,2.8,105,0.16,7.17,3,0.79,1.43
103,23,0.02,6.01,2.8,105,0.16,7.16,3,0.8,1.02
104,23,0.04,5.87,2.8,105,0.14,7.15,2,0.84,0.66
105,26,0.04,6.21,2.8,104,0.14,7.21,2,0.8,0.41
106,14,0.05,6.38,2.8,109,0.21,7.21,,0.81,1.7
107,31,0.06,6.27,2.8,109,0.21,7.24,,1.13,2.36
108,27,0.08,6.16,2.9,108,0.16,7.27,,0.97,2.22
109,21,0.05,6.35,2.8,104,0.18,7.29,,1,2.2
110,33,0.06,6.29,2.8,100,0.15,7.27,,0.99,2.06
111,30,0.03,6.14,2.8,97,0.14,7.25,,1.13,1.63
112,31,0.03,6.29,2.8,96,0.15,7.23,,1.01,1.55
113,28,0.05,5.91,2.8,108,0.2,7.21,4,0.81,1.01
114,15,0.05,5.83,2.9,114,0.22,7.18,3,0.73,1.71
115,17,0.05,5.98,2.9,117,0.23,7.2,3,0.79,1.6
116,20,0.03,5.93,2.9,114,0.17,7.17,4,0.76,0.99
117,26,0.04,5.98,2.8,113,0.21,7.2,4,0.71,0.44
118,40,0.05,6.25,2.9,115,0.26,7.26,4,0.65,0.21
119,36,0.06,6.23,3,113,0.2,7.27,4,0.64,0.53
120,30,0.04,6.33,2.8,122,0.19,7.23,,1.33,1.68
121,32,,6.3,3,129,0.25,7.29,,1.31,2.03
122,7.36,0.04,6.32,3,137,0.24,7.18,,1.35,1.54
