,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,2.86439,1.8233,1.01829,1.62366,2.82795
Exp2,6.51074,4.14458,5.61815,1.87918,4.93642
Exp3,1.6978,1.10351,1.15975,1.56259,0.58818
Exp4,2.74675,1.9428,0.62403,1.73338,3.47098
Exp5,1.79722,1.22142,2.18918,0.96348,0.51159
Exp6,6.92025,3.71658,5.43414,1.61132,4.10429
Exp7,1.48482,0.89344,1.34781,0.51265,0.81987
Exp8,2.11845,1.52867,1.85397,0.7201,2.01195
Exp9,1.57097,1.02049,2.02357,0.53976,0.49815
Exp10,2.14935,1.4457,0.86675,0.53424,2.93611
