,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,2.98607,1.91717,1.7978,4.17435,1.48482,6.92025
TestMSE,1.88405,1.0756,1.21739,2.55071,0.89344,4.14458
Step1,2.21356,1.72507,1.14436,3.28277,0.62403,5.61815
Step2,1.16803,0.53419,0.83694,1.49913,0.51265,1.87918
Step3,2.27055,1.546,1.31233,3.22877,0.49815,4.93642
