,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,1.13677,1.34644,0.86124,0.75283,0.71023
Exp2,1.25494,1.366,0.8077,0.6793,0.86726
Exp3,1.10057,1.28552,0.6145,0.72343,0.86696
Exp4,0.98641,1.22648,0.66721,0.69471,0.75925
Exp5,1.13034,1.28837,0.56824,0.74734,0.88232
