,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.12181,0.0858,1.0466,1.19701,0.98641,1.25494
TestRMSE,1.30256,0.04946,1.25921,1.34592,1.22648,1.366
Step1,0.70378,0.11249,0.60517,0.80238,0.56824,0.86124
Step2,0.71952,0.02875,0.69432,0.74472,0.6793,0.75283
Step3,0.8172,0.06932,0.75645,0.87796,0.71023,0.88232
