,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.52575,76.97186,76.97186,91.50268,126.15307
Exp2,1.52252,76.42316,76.42316,91.63063,126.44537
Exp3,1.55625,72.60125,72.60125,87.91508,122.17682
Exp4,1.53551,74.8835,74.8835,89.25165,122.75499
Exp5,1.49647,75.98786,75.98786,89.80736,123.79466
Exp6,1.51882,74.06557,74.06557,89.37664,124.52834
Exp7,1.57145,75.87715,75.87715,90.05004,123.81828
Exp8,1.53865,74.67626,74.67626,89.22341,123.65421
Exp9,1.55257,74.13495,74.13495,89.50949,124.4925
Exp10,1.55992,76.35228,76.35228,91.30021,126.04465
