,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.5074,0.2097,0.7662,0.3356,0.4628,0.4112,0.7993,-0.0464,0.0804,0.0288,0.1161,0.0569,30.5828,19.6268,54.7958,14.4256
RNN-obs,0.2507,0.0042,0.2567,0.2441,0.888,0.0038,0.8938,0.8825,0.044,0.0002,0.0442,0.0437,9.1419,0.1819,9.3439,8.8573
GRU-obs,0.2392,0.0028,0.242,0.2339,0.898,0.0024,0.9025,0.8956,0.0409,0.0002,0.0412,0.0406,8.0643,0.0526,8.1164,7.981
DNN-obs,0.3491,0.0062,0.3563,0.3383,0.7827,0.0076,0.796,0.7737,0.0561,0.0007,0.0569,0.0553,14.3358,0.2329,14.7187,14.0299
LSTM-obs,0.2499,0.0096,0.2661,0.2374,0.8885,0.0087,0.8996,0.8738,0.0407,0.0009,0.0424,0.0395,7.4117,0.1408,7.6424,7.2795
