,0,1,2,3,4
CNN-obs,0.7948,0.5792,0.7994,0.5811,0.5804
RNN-obs,0.544,0.5115,0.5339,0.518,0.5148
GRU-obs,0.5004,0.5065,0.4868,0.5095,0.505
DNN-obs,0.5951,0.5924,0.5946,0.5852,0.5945
LSTM-obs,0.5812,0.5258,0.5657,0.5468,0.5042
